"predict","Days","start station name","bikes","Month","DayOfWeek"
1.0468030982017518,15887,"8 Ave & W 33 St",1,"6","Sun"
1.0216869449615478,15887,"South St & Gouverneur Ln",1,"6","Sun"
1.0606487579345703,15887,"W 41 St & 8 Ave",1,"6","Sun"
1.0408538060188293,15887,"W 43 St & 6 Ave",1,"6","Sun"
1.2172693891525268,15888,"Broadway & E 22 St",1,"7","Mon"
1.0507033448219298,15888,"E 19 St & 3 Ave",1,"7","Mon"
1.209793818950653,15888,"MacDougal St & Prince St",1,"7","Mon"
1.0661623015403747,15888,"W 25 St & 6 Ave",1,"7","Mon"
1.0819592823982238,15888,"W 49 St & 5 Ave",1,"7","Mon"
1.0354211030006408,15889,"Joralemon St & Adams St",1,"7","Tue"
1.065121829509735,15889,"W 51 St & 6 Ave",1,"7","Tue"
1.0170517058372497,15890,"Metropolitan Ave & Bedford Ave",1,"7","Wed"
1.03531006193161,15890,"W 22 St & 8 Ave",1,"7","Wed"
1.1785453300476074,15890,"West St & Chambers St",1,"7","Wed"
1.2444977622032165,15891,"E 17 St & Broadway",2,"7","Thu"
1.09464980840683,15891,"Forsyth St & Broome St",2,"7","Thu"
1.1600105080604552,15891,"W 13 St & 6 Ave",1,"7","Thu"
1.0415868697166444,15891,"W 37 St & 10 Ave",1,"7","Thu"
1.17673383808136,15891,"West St & Chambers St",1,"7","Thu"
1.042826389312744,15892,"6 Ave & Canal St",1,"7","Fri"
1.0278827095031737,15892,"E 20 St & 2 Ave",1,"7","Fri"
1.064258141517639,15892,"Lafayette St & Jersey St",1,"7","Fri"
1.0608634915351867,15892,"South St & Whitehall St",1,"7","Fri"
1.1033757734298706,15892,"W 46 St & 11 Ave",1,"7","Fri"
1.2887212347984314,15893,"Broadway & E 22 St",1,"7","Sat"
1.1573405675888062,15893,"W 16 St & The High Line",1,"7","Sat"
1.038161729812622,15893,"Wythe Ave & Metropolitan Ave",1,"7","Sat"
1.0567162952423095,15894,"2 Ave & E 31 St",1,"7","Sun"
1.015969587802887,15894,"Carlton Ave & Park Ave",1,"7","Sun"
1.1897198162078857,15894,"Carmine St & 6 Ave",1,"7","Sun"
1.03622842502594,15894,"E 2 St & 2 Ave",1,"7","Sun"
1.0163050718307496,15894,"Hicks St & Montague St",1,"7","Sun"
1.0737188415527343,15895,"11 Ave & W 41 St",1,"7","Mon"
1.0507028260231017,15895,"8 Ave & W 52 St",1,"7","Mon"
1.0836317105293274,15895,"Broadway & W 49 St",1,"7","Mon"
1.0367170825004577,15895,"E 20 St & Park Ave",2,"7","Mon"
1.0570138983726503,15895,"John St & William St",1,"7","Mon"
1.1014433522224427,15895,"W 45 St & 6 Ave",1,"7","Mon"
1.0221535501480103,15896,"Atlantic Ave & Fort Greene Pl",1,"7","Tue"
1.0577433757781982,15896,"E 32 St & Park Ave",1,"7","Tue"
1.0949884209632874,15896,"Greenwich St & Warren St",1,"7","Tue"
1.0635826139450073,15896,"Howard St & Centre St",1,"7","Tue"
1.0558337688446044,15896,"W 53 St & 10 Ave",1,"7","Tue"
1.1446679658889771,15897,"2 Ave & E 58 St",1,"7","Wed"
1.06101327085495,15897,"Allen St & Hester St",1,"7","Wed"
1.0127675981521607,15897,"Atlantic Ave & Fort Greene Pl",1,"7","Wed"
1.0232945728302,15897,"Broadway & W 29 St",1,"7","Wed"
1.222390881538391,15897,"Broadway & W 36 St",1,"7","Wed"
1.029079496383667,15897,"Centre St & Chambers St",1,"7","Wed"
1.024406177997589,15897,"E 39 St & 3 Ave",1,"7","Wed"
1.0956698207855224,15897,"W 16 St & The High Line",1,"7","Wed"
