"predict","Days","start station name","bikes","Month","DayOfWeek"
1.1832530479098526,15887,"8 Ave & W 33 St",1,"6","Sun"
1.07696862081673,15887,"South St & Gouverneur Ln",1,"6","Sun"
1.2135913076501625,15887,"W 41 St & 8 Ave",1,"6","Sun"
1.3018876771082517,15887,"W 43 St & 6 Ave",1,"6","Sun"
1.3092337122467073,15888,"Broadway & E 22 St",1,"7","Mon"
1.1034088049859883,15888,"E 19 St & 3 Ave",1,"7","Mon"
1.210637644848383,15888,"MacDougal St & Prince St",1,"7","Mon"
1.104690987638948,15888,"W 25 St & 6 Ave",1,"7","Mon"
1.1045444103134558,15888,"W 49 St & 5 Ave",1,"7","Mon"
1.0702906260134395,15889,"Joralemon St & Adams St",1,"7","Tue"
1.1804600402752643,15889,"W 51 St & 6 Ave",1,"7","Tue"
1.0457293075308667,15890,"Metropolitan Ave & Bedford Ave",1,"7","Wed"
1.142917188718939,15890,"W 22 St & 8 Ave",1,"7","Wed"
1.2827408299558662,15890,"West St & Chambers St",1,"7","Wed"
1.2753585756369832,15891,"E 17 St & Broadway",2,"7","Thu"
1.1526965227635886,15891,"Forsyth St & Broome St",2,"7","Thu"
1.2393659696245296,15891,"W 13 St & 6 Ave",1,"7","Thu"
1.0664929884134637,15891,"W 37 St & 10 Ave",1,"7","Thu"
1.2862407602289327,15891,"West St & Chambers St",1,"7","Thu"
1.1163803026776158,15892,"6 Ave & Canal St",1,"7","Fri"
1.0748912110206184,15892,"E 20 St & 2 Ave",1,"7","Fri"
1.221032567433216,15892,"Lafayette St & Jersey St",1,"7","Fri"
1.229158581693007,15892,"South St & Whitehall St",1,"7","Fri"
1.0689450650828876,15892,"W 46 St & 11 Ave",1,"7","Fri"
1.2673811395229204,15893,"Broadway & E 22 St",1,"7","Sat"
1.1768962717893874,15893,"W 16 St & The High Line",1,"7","Sat"
0.9786058494065725,15893,"Wythe Ave & Metropolitan Ave",1,"7","Sat"
1.1459363188899696,15894,"2 Ave & E 31 St",1,"7","Sun"
1.000857997427464,15894,"Carlton Ave & Park Ave",1,"7","Sun"
1.1570702966264583,15894,"Carmine St & 6 Ave",1,"7","Sun"
1.1227068898032015,15894,"E 2 St & 2 Ave",1,"7","Sun"
1.0032748552045312,15894,"Hicks St & Montague St",1,"7","Sun"
1.118389994065809,15895,"11 Ave & W 41 St",1,"7","Mon"
1.1197434865379599,15895,"8 Ave & W 52 St",1,"7","Mon"
1.0925849203407665,15895,"Broadway & W 49 St",1,"7","Mon"
1.0829712214206977,15895,"E 20 St & Park Ave",2,"7","Mon"
1.1874054037192674,15895,"John St & William St",1,"7","Mon"
1.103924287593699,15895,"W 45 St & 6 Ave",1,"7","Mon"
1.0236168447331817,15896,"Atlantic Ave & Fort Greene Pl",1,"7","Tue"
1.1982817696546664,15896,"E 32 St & Park Ave",1,"7","Tue"
1.2601756497632148,15896,"Greenwich St & Warren St",1,"7","Tue"
1.1296200190299492,15896,"Howard St & Centre St",1,"7","Tue"
1.1096243933583239,15896,"W 53 St & 10 Ave",1,"7","Tue"
1.1229437518482814,15897,"2 Ave & E 58 St",1,"7","Wed"
1.0965333105867643,15897,"Allen St & Hester St",1,"7","Wed"
1.0117338368553461,15897,"Atlantic Ave & Fort Greene Pl",1,"7","Wed"
1.0974040759346533,15897,"Broadway & W 29 St",1,"7","Wed"
1.2583870207088732,15897,"Broadway & W 36 St",1,"7","Wed"
1.0769984168772362,15897,"Centre St & Chambers St",1,"7","Wed"
1.0940943810321782,15897,"E 39 St & 3 Ave",1,"7","Wed"
1.214538509212864,15897,"W 16 St & The High Line",1,"7","Wed"
1.365381646724962,15898,"8 Ave & W 31 St",1,"7","Thu"
1.0942898606893994,15898,"Broadway & W 49 St",1,"7","Thu"
1.060371237887455,15898,"Broadway & W 55 St",1,"7","Thu"
1.1156339850404344,15898,"E 31 St & 3 Ave",1,"7","Thu"
1.2361012664344648,15898,"Grand Army Plaza & Central Park S",1,"7","Thu"
1.1850255798172766,15898,"Little West St & 1 Pl",1,"7","Thu"
1.0949074447136913,15898,"Mott St & Prince St",1,"7","Thu"
1.089479269860836,15899,"5 Ave & E 29 St",1,"7","Fri"
1.237298682531281,15899,"Allen St & Rivington St",1,"7","Fri"
1.0878047779368332,15899,"Old Slip & Front St",1,"7","Fri"
1.099554059119751,15899,"Pearl St & Hanover Square",1,"7","Fri"
1.0206281504727692,15899,"Pitt St & Stanton St",1,"7","Fri"
1.088450405169485,15899,"St James Pl & Oliver St",1,"7","Fri"
1.0527687419343659,15899,"W 52 St & 9 Ave",1,"7","Fri"
1.1283092434418047,15900,"E 12 St & 3 Ave",1,"7","Sat"
1.0679436398088087,15900,"Mercer St & Spring St",1,"7","Sat"
1.0886855522072774,15901,"E 39 St & 3 Ave",1,"7","Sun"
1.0865300229980466,15901,"Mott St & Prince St",2,"7","Sun"
1.0679216278881072,15901,"W 27 St & 7 Ave",1,"7","Sun"
1.2101490416621279,15901,"W 39 St & 9 Ave",1,"7","Sun"
1.108654874417674,15902,"Church St & Leonard St",1,"7","Mon"
1.1299613011811585,15902,"E 2 St & 2 Ave",1,"7","Mon"
1.0472831926494313,15902,"Metropolitan Ave & Bedford Ave",1,"7","Mon"
1.1179869815299337,15902,"Shevchenko Pl & E 6 St",1,"7","Mon"
1.2313419474136273,15902,"University Pl & E 14 St",1,"7","Mon"
1.2177740199025804,15902,"W 39 St & 9 Ave",1,"7","Mon"
1.1298003871303453,15903,"6 Ave & W 33 St",1,"7","Tue"
1.141006262529914,15903,"Allen St & E Houston St",2,"7","Tue"
1.1768521359530977,15903,"Carmine St & 6 Ave",1,"7","Tue"
1.173281001173343,15903,"E 25 St & 2 Ave",1,"7","Tue"
