"predict","Days","start station name","bikes","Month","DayOfWeek"
1.1797487252389656,15887,"8 Ave & W 33 St",1,"6","Sun"
1.0812822827699333,15887,"South St & Gouverneur Ln",1,"6","Sun"
0.9994959028428807,15887,"W 41 St & 8 Ave",1,"6","Sun"
0.9487410622935781,15887,"W 43 St & 6 Ave",1,"6","Sun"
1.4665623487753974,15888,"Broadway & E 22 St",1,"7","Mon"
0.8899753956570462,15888,"E 19 St & 3 Ave",1,"7","Mon"
1.9361105195617083,15888,"MacDougal St & Prince St",1,"7","Mon"
0.9748090729026158,15888,"W 25 St & 6 Ave",1,"7","Mon"
0.9381125727671529,15888,"W 49 St & 5 Ave",1,"7","Mon"
1.1035428709378434,15889,"Joralemon St & Adams St",1,"7","Tue"
0.86840278466272,15889,"W 51 St & 6 Ave",1,"7","Tue"
0.9441402486019965,15890,"Metropolitan Ave & Bedford Ave",1,"7","Wed"
0.8587191651831458,15890,"W 22 St & 8 Ave",1,"7","Wed"
1.1396434068612675,15890,"West St & Chambers St",1,"7","Wed"
1.585000989094368,15891,"E 17 St & Broadway",2,"7","Thu"
0.9911889194747514,15891,"Forsyth St & Broome St",2,"7","Thu"
1.2498367710939247,15891,"W 13 St & 6 Ave",1,"7","Thu"
0.9688526979751086,15891,"W 37 St & 10 Ave",1,"7","Thu"
1.1351466062698987,15891,"West St & Chambers St",1,"7","Thu"
1.187423824730814,15892,"6 Ave & Canal St",1,"7","Fri"
1.0312981631800253,15892,"E 20 St & 2 Ave",1,"7","Fri"
1.1347956895506568,15892,"Lafayette St & Jersey St",1,"7","Fri"
1.289192629923235,15892,"South St & Whitehall St",1,"7","Fri"
1.2099301443283534,15892,"W 46 St & 11 Ave",1,"7","Fri"
1.5261957588573123,15893,"Broadway & E 22 St",1,"7","Sat"
1.192552536997226,15893,"W 16 St & The High Line",1,"7","Sat"
0.8517310403743463,15893,"Wythe Ave & Metropolitan Ave",1,"7","Sat"
0.9290956994508119,15894,"2 Ave & E 31 St",1,"7","Sun"
0.9859979829190875,15894,"Carlton Ave & Park Ave",1,"7","Sun"
1.338169242505529,15894,"Carmine St & 6 Ave",1,"7","Sun"
0.9528930527419275,15894,"E 2 St & 2 Ave",1,"7","Sun"
0.9862415666292177,15894,"Hicks St & Montague St",1,"7","Sun"
1.0682373881791987,15895,"11 Ave & W 41 St",1,"7","Mon"
1.0125172284540154,15895,"8 Ave & W 52 St",1,"7","Mon"
1.3399453691531276,15895,"Broadway & W 49 St",1,"7","Mon"
0.9492412006679556,15895,"E 20 St & Park Ave",2,"7","Mon"
1.0995699249391746,15895,"John St & William St",1,"7","Mon"
1.4570387643938998,15895,"W 45 St & 6 Ave",1,"7","Mon"
0.9856872182784568,15896,"Atlantic Ave & Fort Greene Pl",1,"7","Tue"
0.8377477761236205,15896,"E 32 St & Park Ave",1,"7","Tue"
1.1705528348053063,15896,"Greenwich St & Warren St",1,"7","Tue"
1.0152282105488835,15896,"Howard St & Centre St",1,"7","Tue"
1.2490304450004428,15896,"W 53 St & 10 Ave",1,"7","Tue"
1.7936257024061033,15897,"2 Ave & E 58 St",1,"7","Wed"
