predict,Days,start station name,bikes,Month,DayOfWeek,residual
1.0804968747735748,15887,8 Ave & W 33 St,1,6,Sun,-0.08049687477357481
1.0569231378419717,15887,South St & Gouverneur Ln,1,6,Sun,-0.05692313784197167
1.1902879933428243,15887,W 41 St & 8 Ave,1,6,Sun,-0.1902879933428243
1.2185999534325043,15887,W 43 St & 6 Ave,1,6,Sun,-0.21859995343250427
1.3254397344099258,15888,Broadway & E 22 St,1,7,Mon,-0.3254397344099258
1.0716856563637742,15888,E 19 St & 3 Ave,1,7,Mon,-0.07168565636377422
1.2002469740175399,15888,MacDougal St & Prince St,1,7,Mon,-0.20024697401753988
1.054411321658775,15888,W 25 St & 6 Ave,1,7,Mon,-0.054411321658774936
1.0728579688189281,15888,W 49 St & 5 Ave,1,7,Mon,-0.07285796881892814
1.0887717008144755,15889,Joralemon St & Adams St,1,7,Tue,-0.0887717008144755
1.1371794209278556,15889,W 51 St & 6 Ave,1,7,Tue,-0.13717942092785562
1.0139767634932295,15890,Metropolitan Ave & Bedford Ave,1,7,Wed,-0.013976763493229516
1.0853481076097036,15890,W 22 St & 8 Ave,1,7,Wed,-0.08534810760970357
1.2313871918494732,15890,West St & Chambers St,1,7,Wed,-0.2313871918494732
1.3135324474980465,15891,E 17 St & Broadway,2,7,Thu,0.6864675525019535
1.095637800384191,15891,Forsyth St & Broome St,2,7,Thu,0.9043621996158091
1.313996314949622,15891,W 13 St & 6 Ave,1,7,Thu,-0.3139963149496221
1.067423179293501,15891,W 37 St & 10 Ave,1,7,Thu,-0.06742317929350095
1.2986137803552398,15891,West St & Chambers St,1,7,Thu,-0.2986137803552398
1.1141667741262686,15892,6 Ave & Canal St,1,7,Fri,-0.11416677412626863
1.081285976139042,15892,E 20 St & 2 Ave,1,7,Fri,-0.0812859761390421
1.1491431724256735,15892,Lafayette St & Jersey St,1,7,Fri,-0.14914317242567354
1.1187257498974417,15892,South St & Whitehall St,1,7,Fri,-0.11872574989744167
1.0440420230464733,15892,W 46 St & 11 Ave,1,7,Fri,-0.04404202304647331
1.2059717663450236,15893,Broadway & E 22 St,1,7,Sat,-0.20597176634502357
1.084465683416654,15893,W 16 St & The High Line,1,7,Sat,-0.08446568341665395
1.009744981387247,15893,Wythe Ave & Metropolitan Ave,1,7,Sat,-0.009744981387246998
1.0637701176983172,15894,2 Ave & E 31 St,1,7,Sun,-0.0637701176983172
1.0301721305627711,15894,Carlton Ave & Park Ave,1,7,Sun,-0.030172130562771127
1.1436716186106948,15894,Carmine St & 6 Ave,1,7,Sun,-0.14367161861069477
1.063861548695354,15894,E 2 St & 2 Ave,1,7,Sun,-0.06386154869535399
1.0069213191233592,15894,Hicks St & Montague St,1,7,Sun,-0.006921319123359249
1.1079948725182462,15895,11 Ave & W 41 St,1,7,Mon,-0.10799487251824624
1.0657628274736932,15895,8 Ave & W 52 St,1,7,Mon,-0.06576282747369322
1.0222191543737194,15895,Broadway & W 49 St,1,7,Mon,-0.022219154373719352
1.0590346305347562,15895,E 20 St & Park Ave,2,7,Mon,0.9409653694652438
1.1081965202647917,15895,John St & William St,1,7,Mon,-0.10819652026479165
1.0782842987879124,15895,W 45 St & 6 Ave,1,7,Mon,-0.07828429878791243
1.040395961073151,15896,Atlantic Ave & Fort Greene Pl,1,7,Tue,-0.04039596107315102
1.1533709830796646,15896,E 32 St & Park Ave,1,7,Tue,-0.15337098307966457
1.1973566323050844,15896,Greenwich St & Warren St,1,7,Tue,-0.19735663230508438
1.1234205720544792,15896,Howard St & Centre St,1,7,Tue,-0.1234205720544792
1.1049807781466228,15896,W 53 St & 10 Ave,1,7,Tue,-0.10498077814662277
1.0697772036087874,15897,2 Ave & E 58 St,1,7,Wed,-0.06977720360878736
1.0212245911621252,15897,Allen St & Hester St,1,7,Wed,-0.02122459116212516
1.0114001540296667,15897,Atlantic Ave & Fort Greene Pl,1,7,Wed,-0.011400154029666654
1.0225181152734382,15897,Broadway & W 29 St,1,7,Wed,-0.022518115273438166
1.1636138959649511,15897,Broadway & W 36 St,1,7,Wed,-0.16361389596495113
1.0245100063748052,15897,Centre St & Chambers St,1,7,Wed,-0.02451000637480516
1.0154605362312288,15897,E 39 St & 3 Ave,1,7,Wed,-0.015460536231228783
1.143230744250236,15897,W 16 St & The High Line,1,7,Wed,-0.14323074425023608
1.3763398183962532,15898,8 Ave & W 31 St,1,7,Thu,-0.3763398183962532
1.042972002289451,15898,Broadway & W 49 St,1,7,Thu,-0.04297200228945108
1.0665384695847466,15898,Broadway & W 55 St,1,7,Thu,-0.06653846958474663
1.0971111904601312,15898,E 31 St & 3 Ave,1,7,Thu,-0.09711119046013117
1.2650835877432862,15898,Grand Army Plaza & Central Park S,1,7,Thu,-0.2650835877432862
1.148235088861499,15898,Little West St & 1 Pl,1,7,Thu,-0.14823508886149894
1.0794170958042029,15898,Mott St & Prince St,1,7,Thu,-0.07941709580420286
1.0577131080042965,15899,5 Ave & E 29 St,1,7,Fri,-0.05771310800429652
1.2117920877864503,15899,Allen St & Rivington St,1,7,Fri,-0.2117920877864503
