Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,dlPredict,dlResidual,drfPredict,drfResidual,gbmPredict,gbmResidual,glmPredict,glmResidual
1,5,1438326000000,5263,555,1,1,0,1,c,a,1270,9,2008,0,,,,4840.622980576714,422.3770194232857,5207.2793359375,55.720664062499964,5242.009440861231,20.99055913876873,6722.832994885364,-1459.8329948853643
2,5,1438326000000,6064,625,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5891.007962875712,172.9920371242879,6256.492041015625,-192.49204101562464,6262.600822887904,-198.60082288790363,6688.727315538214,-624.7273155382136
11,5,1438326000000,10457,1236,1,1,0,1,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",11065.696970319987,-608.6969703199866,10341.1893359375,115.8106640624992,11147.051337115056,-690.0513371150555,7701.451001445472,2755.548998554528
17,5,1438326000000,8430,946,1,1,0,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",8739.46950102049,-309.4695010204905,8504.175,-74.17499999999927,8383.812468520886,46.187531479114114,7198.608485699107,1231.3915143008926
19,5,1438326000000,8234,718,1,1,0,1,a,c,3240,,,1,22,2011,"Mar,Jun,Sept,Dec",8298.309534858332,-64.30953485833197,8395.592373046875,-161.59237304687485,8288.219786963946,-54.21978696394581,6975.064286423789,1258.9357135762111
25,5,1438326000000,14180,1586,1,1,0,1,c,a,430,4,2003,0,,,,12682.344855241201,1497.655144758799,13144.96271484375,1035.0372851562497,13818.718067161328,361.2819328386722,8306.247335474502,5873.752664525498
32,5,1438326000000,6395,635,1,1,0,0,a,a,2910,,,1,45,2009,"Feb,May,Aug,Nov",6767.177496480753,-372.1774964807528,6707.06,-312.0600000000004,7394.274158589131,-999.2741585891308,6536.292366579175,-141.292366579175
33,5,1438326000000,10789,915,1,1,0,1,a,c,1320,5,2013,0,,,,8826.557891615274,1962.4421083847265,9470.90966796875,1318.09033203125,9015.165050461477,1773.8349495385228,7394.567714825884,3394.4322851741163
34,5,1438326000000,11144,1162,1,1,0,1,c,a,2240,9,2009,0,,,,10210.885124906843,933.114875093157,11234.4192578125,-90.41925781250029,11178.310904554612,-34.310904554611625,7649.195750080195,3494.8042499198054
35,5,1438326000000,12412,777,1,1,0,1,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",11590.164807618055,821.8351923819446,10556.73,1855.2700000000004,10338.737859300858,2073.262140699142,7060.818739054725,5351.181260945275
