 MONTH        CO2      YEAR        
            1       315.42         1959
            2       316.31         1959
            3        316.5         1959
            4       317.56         1959
            5       318.13         1959
            6          318         1959
            7       316.39         1959
            8       314.65         1959
            9       313.68         1959
           10       313.18         1959
           11       314.66         1959
           12       315.43         1959
            1       316.27         1960
            2       316.81         1960
            3       317.42         1960
            4       318.87         1960
            5       319.87         1960
            6       319.43         1960
            7       318.01         1960
            8       315.74         1960
            9          314         1960
           10       313.68         1960
           11       314.84         1960
           12       316.03         1960
            1       316.73         1961
            2       317.54         1961
            3       318.38         1961
            4       319.31         1961
            5       320.42         1961
            6       319.61         1961
            7       318.42         1961
            8       316.63         1961
            9       314.83         1961
           10       315.16         1961
           11       315.94         1961
           12       316.85         1961
            1       317.78         1962
            2        318.4         1962
            3       319.53         1962
            4       320.42         1962
            5       320.85         1962
            6       320.45         1962
            7       319.45         1962
            8       317.25         1962
            9       316.11         1962
           10       315.27         1962
           11       316.53         1962
           12       317.53         1962
            1       318.58         1963
            2       318.92         1963
            3        319.7         1963
            4       321.22         1963
            5       322.08         1963
            6       321.31         1963
            7       319.58         1963
            8       317.61         1963
            9       316.05         1963
           10       315.83         1963
           11       316.91         1963
           12        318.2         1963
            1       319.41         1964
            2       320.07         1964
            3       320.74         1964
            4        321.4         1964
            5       322.06         1964
            6       321.73         1964
            7       320.27         1964
            8       318.54         1964
            9       316.54         1964
           10       316.71         1964
           11       317.53         1964
           12       318.55         1964
            1       319.27         1965
            2       320.28         1965
            3       320.73         1965
            4       321.97         1965
            5          322         1965
            6       321.71         1965
            7       321.05         1965
            8       318.71         1965
            9       317.66         1965
           10       317.14         1965
           11        318.7         1965
           12       319.25         1965
            1       320.46         1966
            2       321.43         1966
            3       322.23         1966
            4       323.54         1966
            5       323.91         1966
            6       323.59         1966
            7       322.24         1966
            8        320.2         1966
            9       318.48         1966
           10       317.94         1966
           11       319.63         1966
           12       320.87         1966
            1       322.17         1967
            2       322.34         1967
            3       322.88         1967
            4       324.25         1967
            5       324.83         1967
            6       323.93         1967
            7       322.38         1967
            8       320.76         1967
            9        319.1         1967
           10       319.24         1967
           11       320.56         1967
           12        321.8         1967
            1        322.4         1968
            2       322.99         1968
            3       323.73         1968
            4       324.86         1968
            5        325.4         1968
            6        325.2         1968
            7       323.98         1968
            8       321.95         1968
            9       320.18         1968
           10       320.09         1968
           11       321.16         1968
           12       322.74         1968
            1       323.83         1969
            2       324.26         1969
            3       325.47         1969
            4        326.5         1969
            5       327.21         1969
            6       326.54         1969
            7       325.72         1969
            8        323.5         1969
            9       322.22         1969
           10       321.62         1969
           11       322.69         1969
           12       323.95         1969
            1       324.89         1970
            2       325.82         1970
            3       326.77         1970
